Date,Store_id,SKU_id,Promo,Demand,Regular_Price,Promo_Price
2015-01-01,1,1,,22.0,163.78,
2015-01-01,19,1,,25.0,163.78,
2015-01-01,39,2,,3.0,135.78,
2015-01-01,40,2,,0.0,135.78,
2015-01-01,18,1,,13.0,163.78,
2015-01-01,41,2,,0.0,135.78,
2015-01-01,42,2,,0.0,135.78,
2015-01-01,38,2,,0.0,135.78,
2015-01-01,17,1,,9.0,163.78,
2015-01-01,44,2,,3.0,135.78,
2015-01-01,16,1,,31.0,163.78,
2015-01-01,45,2,,0.0,142.57,
2015-01-01,46,2,,0.0,135.78,
2015-01-01,15,1,,25.0,163.78,
2015-01-01,47,2,,0.0,142.57,
2015-01-01,43,2,,0.0,135.78,
2015-01-01,48,2,,0.0,135.78,
2015-01-01,37,2,,3.0,135.78,
2015-01-01,36,2,,0.0,135.78,
2015-01-01,25,1,,3.0,163.78,
2015-01-01,27,2,,0.0,135.78,
2015-01-01,28,2,,0.0,135.78,
2015-01-01,24,1,,31.0,163.78,
2015-01-01,29,2,,3.0,142.57,
2015-01-01,30,2,,3.0,135.78,
2015-01-01,20,1,,19.0,168.67,
2015-01-01,23,1,,13.0,163.78,
2015-01-01,32,2,,0.0,134.72,
2015-01-01,22,1,,9.0,171.93,
2015-01-01,33,2,,0.0,135.78,
2015-01-01,34,2,,0.0,135.78,
2015-01-01,21,1,,6.0,168.67,
2015-01-01,35,2,,0.0,134.72,
2015-01-01,31,2,,0.0,135.78,
2015-01-01,26,2,,0.0,135.78,
2015-01-01,14,1,,3.0,163.78,
2015-01-01,50,2,,0.0,135.78,
2015-01-01,7,1,,28.0,152.36,
2015-01-01,64,2,,0.0,134.72,
2015-01-01,65,2,,0.0,134.72,
2015-01-01,6,1,,35.0,152.36,
2015-01-01,67,2,,0.0,135.78,
2015-01-01,68,2,,0.0,135.78,
2015-01-01,62,2,,0.0,134.72,
2015-01-01,5,1,,22.0,163.78,
2015-01-01,70,2,,0.0,135.78,
2015-01-01,4,1,,3.0,163.78,
2015-01-01,71,2,,0.0,135.78,
2015-01-01,72,2,,0.0,135.78,
2015-01-01,3,1,,35.0,163.78,
2015-01-01,73,2,,0.0,135.78,
2015-01-01,69,2,,0.0,135.78,
2015-01-01,49,2,,0.0,135.78,
2015-01-01,61,2,,3.0,135.78,
2015-01-01,60,2,,0.0,135.78,
2015-01-01,13,1,,38.0,163.78,
2015-01-01,51,2,,3.0,135.78,
2015-01-01,52,2,,0.0,142.57,
2015-01-01,12,1,,25.0,171.93,
2015-01-01,53,2,,3.0,135.78,
2015-01-01,54,2,,0.0,135.78,
2015-01-01,8,1,,22.0,154.26,
2015-01-01,11,1,,22.0,163.78,
2015-01-01,56,2,,0.0,139.86,
2015-01-01,10,1,,19.0,163.78,
2015-01-01,57,2,,0.0,135.78,
2015-01-01,58,2,,0.0,135.78,
2015-01-01,9,1,,16.0,163.78,
2015-01-01,59,2,,0.0,134.72,
2015-01-01,55,2,,0.0,134.72,
2015-01-01,25,2,,0.0,134.72,
2015-01-01,26,1,,13.0,163.78,
2015-01-01,24,2,,0.0,135.78,
2015-01-01,65,1,,13.0,163.78,
2015-01-01,44,1,,3.0,163.78,
2015-01-01,66,1,,6.0,163.78,
2015-01-01,67,1,,13.0,163.78,
2015-01-01,43,1,,16.0,152.36,
2015-01-01,68,1,,6.0,163.78,
2015-01-01,64,1,,3.0,163.78,
2015-01-01,69,1,,16.0,163.78,
2015-01-01,70,1,,6.0,163.78,
2015-01-01,71,1,,6.0,163.78,
2015-01-01,41,1,,0.0,163.78,
2015-01-01,72,1,,9.0,163.78,
2015-01-01,73,1,,16.0,163.78,
2015-01-01,40,1,,35.0,163.78,
2015-01-01,42,1,,9.0,163.78,
2015-01-01,39,1,,6.0,163.78,
2015-01-01,45,1,,19.0,171.93,
2015-01-01,61,1,,6.0,163.78,
2015-01-01,52,1,,9.0,171.93,
2015-01-01,50,1,,9.0,163.78,
2015-01-01,53,1,,3.0,163.78,
2015-01-01,54,1,,6.0,163.78,
2015-01-01,49,1,,6.0,163.78,
2015-01-01,55,1,,16.0,163.78,
2015-01-01,62,1,,22.0,163.78,
2015-01-01,56,1,,19.0,168.67,
2015-01-01,57,1,,13.0,163.78,
2015-01-01,58,1,,3.0,163.78,
2015-01-01,47,1,,53.0,154.26,
2015-01-01,59,1,,41.0,163.78,
2015-01-01,60,1,,3.0,163.78,
2015-01-01,46,1,,13.0,163.78,
2015-01-01,48,1,,6.0,163.78,
2015-01-01,84,1,,0.0,163.78,
2015-01-01,38,1,,19.0,163.78,
2015-01-01,1,2,,9.0,135.78,
2015-01-01,31,1,,28.0,163.78,
2015-01-01,15,2,,0.0,135.78,
2015-01-01,16,2,,6.0,135.78,
2015-01-01,30,1,,16.0,163.78,
2015-01-01,17,2,,0.0,135.78,
2015-01-01,18,2,,3.0,135.78,
2015-01-01,14,2,,0.0,135.78,
2015-01-01,29,1,,31.0,171.93,
2015-01-01,20,2,,0.0,139.86,
2015-01-01,28,1,,22.0,163.78,
2015-01-01,21,2,,0.0,138.77,
2015-01-01,22,2,,0.0,142.57,
2015-01-01,27,1,,16.0,163.78,
2015-01-01,23,2,,0.0,134.72,
2015-01-01,19,2,,0.0,135.78,
2015-01-01,13,2,,0.0,134.15,
2015-01-01,32,1,,9.0,163.78,
2015-01-01,12,2,,16.0,142.57,
2015-01-01,2,2,,0.0,140.94,
2015-01-01,37,1,,3.0,163.78,
2015-01-01,3,2,,3.0,135.78,
2015-01-01,4,2,,0.0,134.72,
2015-01-01,36,1,,60.0,163.78,
2015-01-01,5,2,,0.0,135.78,
2015-01-01,6,2,,9.0,135.78,
2015-01-01,35,1,,3.0,163.78,
2015-01-01,7,2,,0.0,135.78,
2015-01-01,8,2,,3.0,139.86,
2015-01-01,34,1,,19.0,163.78,
2015-01-01,9,2,,0.0,135.78,
2015-01-01,10,2,,6.0,135.78,
2015-01-01,33,1,,16.0,163.78,
2015-01-01,11,2,,6.0,135.78,
2015-01-01,2,1,,22.0,171.93,
2015-01-01,84,2,,0.0,135.78,
2015-01-01,51,1,,19.0,163.78,
2015-01-02,57,1,,35.0,163.78,
2015-01-02,11,2,,6.0,135.78,
2015-01-02,3,2,,6.0,135.78,
2015-01-02,22,2,,0.0,142.57,
2015-01-02,65,2,,0.0,134.72,
2015-01-02,36,2,,0.0,135.78,
2015-01-02,9,1,,63.0,163.78,
2015-01-02,69,2,,3.0,135.78,
2015-01-02,37,1,,28.0,163.78,
2015-01-02,8,2,,0.0,139.86,
2015-01-02,8,1,,60.0,154.26,
2015-01-02,24,1,,63.0,163.78,
2015-01-02,56,2,,0.0,139.86,
2015-01-02,73,1,,141.0,163.78,
2015-01-02,64,1,,31.0,163.78,
2015-01-02,33,1,,60.0,163.78,
2015-01-02,31,2,,3.0,135.78,
2015-01-02,64,2,,0.0,134.72,
2015-01-02,55,2,,0.0,134.72,
2015-01-02,52,2,,0.0,142.57,
2015-01-02,70,2,,0.0,135.78,
2015-01-02,9,2,,0.0,135.78,
2015-01-02,68,2,,0.0,135.78,
2015-01-02,34,2,,0.0,135.78,
2015-01-02,31,1,,57.0,163.78,
2015-01-02,62,2,,0.0,134.72,
2015-01-02,54,2,,0.0,135.78,
2015-01-02,2,2,,3.0,140.94,
2015-01-02,4,2,,0.0,134.72,
2015-01-02,12,2,,19.0,142.57,
2015-01-02,59,2,,0.0,134.72,
2015-01-02,43,1,,91.0,152.36,
2015-01-02,19,2,,6.0,135.78,
2015-01-02,51,2,,3.0,135.78,
2015-01-02,68,1,,44.0,163.78,
2015-01-02,20,2,,9.0,139.86,
2015-01-02,29,1,,101.0,171.93,
2015-01-02,61,2,,9.0,135.78,
2015-01-02,22,1,,47.0,171.93,
2015-01-02,18,2,,0.0,135.78,
2015-01-02,20,1,,38.0,168.67,
2015-01-02,48,2,,28.0,135.78,
2015-01-02,4,1,,47.0,163.78,
2015-01-02,51,1,,104.0,163.78,
2015-01-02,28,1,,50.0,163.78,
2015-01-02,23,1,,28.0,163.78,
2015-01-02,44,2,,0.0,135.78,
2015-01-02,15,1,,82.0,163.78,
2015-01-02,26,1,,25.0,163.78,
2015-01-02,21,2,,0.0,138.77,
2015-01-02,11,1,,16.0,163.78,
2015-01-02,30,1,,28.0,163.78,
2015-01-02,39,2,,6.0,135.78,
2015-01-02,19,1,,72.0,163.78,
2015-01-02,67,2,,0.0,135.78,
2015-01-02,29,2,,19.0,142.57,
2015-01-02,38,1,,119.0,163.78,
2015-01-02,71,1,,41.0,163.78,
2015-01-02,17,2,,0.0,135.78,
2015-01-02,50,2,,0.0,135.78,
2015-01-02,1,2,,6.0,135.78,
2015-01-02,3,1,,63.0,163.78,
2015-01-02,40,1,,44.0,163.78,
2015-01-02,60,1,,28.0,163.78,
2015-01-02,52,1,,19.0,171.93,
2015-01-02,48,1,,28.0,163.78,
2015-01-02,17,1,,47.0,163.78,
2015-01-02,42,2,,0.0,135.78,
2015-01-02,69,1,,41.0,163.78,
2015-01-02,18,1,,28.0,163.78,
2015-01-02,49,1,,47.0,163.78,
2015-01-02,55,1,,41.0,163.78,
2015-01-02,45,2,,3.0,142.57,
2015-01-02,16,1,,151.0,163.78,
2015-01-02,84,2,,0.0,135.78,
2015-01-02,28,2,,3.0,135.78,
2015-01-02,33,2,,0.0,135.78,
2015-01-02,25,2,,0.0,134.72,
2015-01-02,72,2,,0.0,135.78,
2015-01-02,47,1,,82.0,154.26,
2015-01-02,53,2,,13.0,135.78,
2015-01-02,23,2,,0.0,134.72,
2015-01-02,15,2,,19.0,135.78,
2015-01-02,10,1,,47.0,163.78,
2015-01-02,26,2,,3.0,135.78,
2015-01-02,34,1,,69.0,163.78,
2015-01-02,6,1,,113.0,152.36,
2015-01-02,58,2,,0.0,135.78,
2015-01-02,61,1,,25.0,163.78,
2015-01-02,72,1,,53.0,163.78,
2015-01-02,84,1,,6.0,163.78,
2015-01-02,65,1,,13.0,163.78,
2015-01-02,1,1,,41.0,163.78,
2015-01-02,32,1,,31.0,163.78,
2015-01-02,70,1,,16.0,163.78,
2015-01-02,47,2,,3.0,142.57,
2015-01-02,49,2,,13.0,135.78,
2015-01-02,41,2,,0.0,135.78,
2015-01-02,36,1,,82.0,163.78,
2015-01-02,16,2,,0.0,135.78,
2015-01-02,14,2,,0.0,135.78,
2015-01-02,46,1,,41.0,163.78,
2015-01-02,32,2,,0.0,134.72,
2015-01-02,45,1,,57.0,171.93,
2015-01-02,50,1,,13.0,163.78,
2015-01-02,43,2,,0.0,135.78,
2015-01-02,40,2,,0.0,135.78,
2015-01-02,57,2,,0.0,135.78,
2015-01-02,59,1,,50.0,163.78,
2015-01-02,5,2,,3.0,135.78,
2015-01-02,73,2,,9.0,135.78,
2015-01-02,30,2,,6.0,135.78,
2015-01-02,66,1,,13.0,163.78,
2015-01-02,71,2,,0.0,135.78,
2015-01-02,54,1,,60.0,163.78,
2015-01-02,67,1,,57.0,163.78,
2015-01-02,6,2,,9.0,135.78,
2015-01-02,42,1,,28.0,163.78,
2015-01-02,53,1,,53.0,163.78,
2015-01-02,14,1,,72.0,163.78,
2015-01-02,7,1,,60.0,152.36,
2015-01-02,27,1,,19.0,163.78,
2015-01-02,5,1,,44.0,163.78,
2015-01-02,7,2,,0.0,135.78,
2015-01-02,25,1,,22.0,163.78,
2015-01-02,13,1,,75.0,163.78,
2015-01-02,35,2,,0.0,134.72,
2015-01-02,21,1,,35.0,168.67,
2015-01-02,10,2,,3.0,135.78,
2015-01-02,2,1,,72.0,171.93,
2015-01-02,39,1,,85.0,163.78,
2015-01-02,13,2,,13.0,134.15,
2015-01-02,37,2,,0.0,135.78,
2015-01-02,60,2,,0.0,135.78,
2015-01-02,35,1,,28.0,163.78,
2015-01-02,44,1,,25.0,163.78,
2015-01-02,56,1,,28.0,168.67,
2015-01-02,38,2,,3.0,135.78,
2015-01-02,24,2,,9.0,135.78,
2015-01-02,58,1,,28.0,163.78,
2015-01-02,12,1,,35.0,171.93,
2015-01-02,46,2,,6.0,135.78,
2015-01-02,27,2,,0.0,135.78,
2015-01-02,41,1,,28.0,163.78,
2015-01-02,62,1,,53.0,163.78,
2015-01-03,1,2,,6.0,135.78,
2015-01-03,17,2,,0.0,135.78,
2015-01-03,66,1,,19.0,163.78,
2015-01-03,37,2,,3.0,135.78,
2015-01-03,31,1,,101.0,163.78,
2015-01-03,19,1,,53.0,163.78,
2015-01-03,55,1,,47.0,163.78,
2015-01-03,33,2,,0.0,135.78,
2015-01-03,12,2,,16.0,142.57,
2015-01-03,15,1,,110.0,163.78,
2015-01-03,50,1,,19.0,163.78,
2015-01-03,44,1,,38.0,163.78,
2015-01-03,44,2,,0.0,135.78,
2015-01-03,61,1,,31.0,163.78,
2015-01-03,48,1,,9.0,163.78,
2015-01-03,46,1,,82.0,163.78,
2015-01-03,18,2,,3.0,135.78,
2015-01-03,32,1,,57.0,163.78,
2015-01-03,62,1,,31.0,163.78,
2015-01-03,54,2,,0.0,135.78,
2015-01-03,59,2,,0.0,134.72,
2015-01-03,5,1,,38.0,163.78,
2015-01-03,68,2,,0.0,135.78,
2015-01-03,10,2,,3.0,135.78,
2015-01-03,20,2,,9.0,139.86,
2015-01-03,24,1,,50.0,163.78,
2015-01-03,52,2,,22.0,142.57,
2015-01-03,6,2,,0.0,135.78,
2015-01-03,14,1,,31.0,163.78,
2015-01-03,37,1,,25.0,163.78,
2015-01-03,84,2,,0.0,135.78,
2015-01-03,60,2,,3.0,135.78,
2015-01-03,9,1,,107.0,163.78,
2015-01-03,65,1,,25.0,163.78,
2015-01-03,22,1,,75.0,171.93,
2015-01-03,33,1,,107.0,163.78,
2015-01-03,47,2,,6.0,142.57,
2015-01-03,24,2,,3.0,135.78,
2015-01-03,48,2,,50.0,135.78,
2015-01-03,26,2,,6.0,135.78,
2015-01-03,18,1,,63.0,163.78,
2015-01-03,30,2,,3.0,135.78,
2015-01-03,25,2,,0.0,134.72,
2015-01-03,43,2,,0.0,135.78,
2015-01-03,69,1,,35.0,163.78,
2015-01-03,59,1,,25.0,163.78,
2015-01-03,3,2,,25.0,135.78,
2015-01-03,71,1,,28.0,163.78,
2015-01-03,26,1,,75.0,163.78,
2015-01-03,23,2,,0.0,134.72,
2015-01-03,25,1,,25.0,163.78,
2015-01-03,12,1,,69.0,171.93,
2015-01-03,27,2,,3.0,135.78,
2015-01-03,36,1,,129.0,163.78,
2015-01-03,42,1,,66.0,163.78,
2015-01-03,70,1,,16.0,163.78,
2015-01-03,13,2,,3.0,134.15,
2015-01-03,21,1,,44.0,168.67,
2015-01-03,35,2,,0.0,134.72,
2015-01-03,27,1,,16.0,163.78,
2015-01-03,7,1,,82.0,152.36,
2015-01-03,2,1,,85.0,171.93,
2015-01-03,15,2,,0.0,135.78,
2015-01-03,56,1,,41.0,168.67,
2015-01-03,53,2,,9.0,135.78,
2015-01-03,73,1,,50.0,163.78,
2015-01-03,9,2,,0.0,135.78,
2015-01-03,34,2,,19.0,135.78,
2015-01-03,62,2,,0.0,134.72,
2015-01-03,57,2,,9.0,135.78,
2015-01-03,2,2,,6.0,140.94,
2015-01-03,10,1,,57.0,163.78,
2015-01-03,29,2,,9.0,142.57,
2015-01-03,41,2,,0.0,135.78,
2015-01-03,34,1,,126.0,163.78,
2015-01-03,51,1,,151.0,163.78,
2015-01-03,41,1,,41.0,163.78,
2015-01-03,67,1,,63.0,163.78,
2015-01-03,39,1,,119.0,163.78,
2015-01-03,38,2,,0.0,135.78,
2015-01-03,58,1,,41.0,163.78,
2015-01-03,6,1,,229.0,152.36,
2015-01-03,16,2,,0.0,135.78,
2015-01-03,84,1,,13.0,163.78,
2015-01-03,73,2,,0.0,135.78,
2015-01-03,53,1,,41.0,163.78,
2015-01-03,32,2,,0.0,134.72,
2015-01-03,1,1,,35.0,163.78,
2015-01-03,49,2,,9.0,135.78,
2015-01-03,5,2,,3.0,135.78,
2015-01-03,45,1,,107.0,171.93,
2015-01-03,13,1,,88.0,163.78,
2015-01-03,54,1,,53.0,163.78,
2015-01-03,40,2,,0.0,135.78,
2015-01-03,14,2,,0.0,135.78,
2015-01-03,72,1,,38.0,163.78,
2015-01-03,58,2,,0.0,135.78,
2015-01-03,19,2,,3.0,135.78,
2015-01-03,71,2,,6.0,135.78,
2015-01-03,68,1,,57.0,163.78,
2015-01-03,49,1,,31.0,163.78,
2015-01-03,45,2,,19.0,142.57,
2015-01-03,16,1,,248.0,163.78,
2015-01-03,28,2,,9.0,135.78,
2015-01-03,42,2,,3.0,135.78,
2015-01-03,72,2,,3.0,135.78,
2015-01-03,21,2,,0.0,138.77,
2015-01-03,50,2,,3.0,135.78,
2015-01-03,4,1,,31.0,163.78,
2015-01-03,23,1,,57.0,163.78,
2015-01-03,28,1,,126.0,163.78,
2015-01-03,39,2,,3.0,135.78,
2015-01-03,7,2,,0.0,135.78,
2015-01-03,11,1,,35.0,163.78,
2015-01-03,30,1,,53.0,163.78,
2015-01-03,3,1,,63.0,163.78,
2015-01-03,35,1,,79.0,163.78,
2015-01-03,17,1,,123.0,163.78,
2015-01-03,67,2,,0.0,135.78,
2015-01-03,38,1,,79.0,163.78,
2015-01-03,4,2,,0.0,134.72,
2015-01-03,43,1,,129.0,152.36,
2015-01-03,57,1,,50.0,163.78,
2015-01-03,46,2,,3.0,135.78,
2015-01-03,52,1,,60.0,171.93,
2015-01-03,22,2,,0.0,142.57,
2015-01-03,51,2,,9.0,135.78,
2015-01-03,61,2,,25.0,135.78,
2015-01-03,70,2,,6.0,135.78,
2015-01-03,55,2,,0.0,134.72,
2015-01-03,11,2,,0.0,135.78,
2015-01-03,8,2,,0.0,139.86,
2015-01-03,64,2,,0.0,134.72,
2015-01-03,69,2,,0.0,135.78,
2015-01-03,60,1,,16.0,163.78,
2015-01-03,8,1,,182.0,154.26,
2015-01-03,36,2,,0.0,135.78,
2015-01-03,29,1,,176.0,171.93,
2015-01-03,31,2,,0.0,135.78,
2015-01-03,64,1,,28.0,163.78,
2015-01-03,56,2,,0.0,139.86,
2015-01-03,47,1,,157.0,154.26,
2015-01-03,20,1,,60.0,168.67,
2015-01-03,40,1,,41.0,163.78,
2015-01-03,65,2,,0.0,134.72,
2015-01-04,73,1,,53.0,163.78,
2015-01-04,2,1,,85.0,171.93,
2015-01-04,39,2,,0.0,135.78,
2015-01-04,20,1,,69.0,168.67,
2015-01-04,2,2,,13.0,140.94,
2015-01-04,24,1,,63.0,163.78,
2015-01-04,29,2,,0.0,142.57,
2015-01-04,62,1,,41.0,163.78,
2015-01-04,19,1,,53.0,163.78,
2015-01-04,64,1,,6.0,163.78,
2015-01-04,21,2,,0.0,138.77,
2015-01-04,65,2,,0.0,134.72,
2015-01-04,55,2,,0.0,134.72,
2015-01-04,22,2,,0.0,142.57,
2015-01-04,23,2,,0.0,134.72,
2015-01-04,11,2,,0.0,135.78,
2015-01-04,8,2,,13.0,139.86,
2015-01-04,18,1,,53.0,163.78,
2015-01-04,34,2,,6.0,135.78,
2015-01-04,1,1,,72.0,163.78,
2015-01-04,7,1,,63.0,152.36,
2015-01-04,13,2,,38.0,134.15,
2015-01-04,27,1,,60.0,163.78,
2015-01-04,27,2,,0.0,135.78,
2015-01-04,25,1,,16.0,163.78,
2015-01-04,72,1,,41.0,163.78,
2015-01-04,58,2,,0.0,135.78,
2015-01-04,13,1,,82.0,163.78,
2015-01-04,49,2,,0.0,135.78,
2015-01-04,84,1,,35.0,163.78,
2015-01-04,53,1,,28.0,163.78,
2015-01-04,39,1,,75.0,163.78,
2015-01-04,56,2,,0.0,139.86,
2015-01-04,52,1,,35.0,171.93,
2015-01-04,72,2,,6.0,135.78,
2015-01-04,49,1,,66.0,163.78,
2015-01-04,26,2,,0.0,135.78,
2015-01-04,46,1,,88.0,163.78,
2015-01-04,24,2,,0.0,135.78,
2015-01-04,47,2,,35.0,142.57,
2015-01-04,70,1,,38.0,163.78,
2015-01-04,6,2,,0.0,135.78,
2015-01-04,59,2,,0.0,134.72,
2015-01-04,45,1,,75.0,171.93,
2015-01-04,20,2,,0.0,139.86,
2015-01-04,52,2,,13.0,142.57,
2015-01-04,9,1,,113.0,163.78,
2015-01-04,71,2,,9.0,135.78,
2015-01-04,33,1,,85.0,163.78,
2015-01-04,1,2,,3.0,135.78,
2015-01-04,15,1,,119.0,163.78,
2015-01-04,11,1,,63.0,163.78,
2015-01-04,71,1,,19.0,163.78,
2015-01-04,44,2,,0.0,135.78,
2015-01-04,38,1,,79.0,163.78,
2015-01-04,17,1,,69.0,163.78,
2015-01-04,28,1,,35.0,163.78,
2015-01-04,35,1,,60.0,163.78,
2015-01-04,36,2,,0.0,135.78,
2015-01-04,28,2,,6.0,135.78,
2015-01-04,48,1,,31.0,163.78,
2015-01-04,67,1,,57.0,163.78,
2015-01-04,41,1,,25.0,163.78,
2015-01-04,54,2,,16.0,135.78,
2015-01-04,48,2,,85.0,135.78,
2015-01-04,68,1,,41.0,163.78,
2015-01-04,25,2,,0.0,134.72,
2015-01-04,43,1,,79.0,152.36,
2015-01-04,3,2,,0.0,135.78,
2015-01-04,61,2,,6.0,135.78,
2015-01-04,37,1,,25.0,163.78,
2015-01-04,57,2,,3.0,135.78,
2015-01-04,9,2,,0.0,135.78,
2015-01-04,53,2,,0.0,135.78,
2015-01-04,69,1,,57.0,163.78,
2015-01-04,32,1,,47.0,163.78,
2015-01-04,56,1,,38.0,168.67,
2015-01-04,45,2,,0.0,142.57,
2015-01-04,15,2,,0.0,135.78,
2015-01-04,18,2,,16.0,135.78,
2015-01-04,10,2,,13.0,135.78,
2015-01-04,35,2,,0.0,134.72,
2015-01-04,5,1,,47.0,163.78,
2015-01-04,14,1,,41.0,163.78,
2015-01-04,21,1,,50.0,168.67,
2015-01-04,65,1,,25.0,163.78,
2015-01-04,61,1,,28.0,163.78,
2015-01-04,43,2,,0.0,135.78,
2015-01-04,84,2,,0.0,135.78,
2015-01-04,31,1,,75.0,163.78,
2015-01-04,66,1,,25.0,163.78,
2015-01-04,42,2,,0.0,135.78,
2015-01-04,57,1,,57.0,163.78,
2015-01-04,50,2,,0.0,135.78,
2015-01-04,26,1,,148.0,163.78,
2015-01-04,23,1,,69.0,163.78,
